id,prefix,source_stamp,window_id,network,station,channel,start_time_utc,local_time,label,label_name,rule,label_method,event_id,rms,rms_band,band_ratio,kurtosis_band
AM_romig_traffic_2026-09-09__171,AM_romig_traffic_2026-09-09,20260914_130103,171,AM,R1796,EHZ,2026-09-09T11:54:59.996000Z,2026-09-09 03:54 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,419.2,401.8,0.918,21.16
AM_romig_traffic_2026-09-09__188,AM_romig_traffic_2026-09-09,20260914_130103,188,AM,R1796,EHZ,2026-09-09T12:11:59.996000Z,2026-09-09 04:11 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,671.5,638.9,0.905,23.89
AM_romig_traffic_2026-09-09__189,AM_romig_traffic_2026-09-09,20260914_130103,189,AM,R1796,EHZ,2026-09-09T12:12:59.996000Z,2026-09-09 04:12 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,636.5,576.6,0.821,22.4
AM_romig_traffic_2026-09-09__202,AM_romig_traffic_2026-09-09,20260914_130103,202,AM,R1796,EHZ,2026-09-09T12:25:59.996000Z,2026-09-09 04:25 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,532.0,505.4,0.902,19.67
AM_romig_traffic_2026-09-09__205,AM_romig_traffic_2026-09-09,20260914_130103,205,AM,R1796,EHZ,2026-09-09T12:28:59.996000Z,2026-09-09 04:28 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,1324.4,1153.1,0.758,31.59
AM_romig_traffic_2026-09-09__206,AM_romig_traffic_2026-09-09,20260914_130103,206,AM,R1796,EHZ,2026-09-09T12:29:59.996000Z,2026-09-09 04:29 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,1482.1,1453.0,0.961,20.7
AM_romig_traffic_2026-09-09__211,AM_romig_traffic_2026-09-09,20260914_130103,211,AM,R1796,EHZ,2026-09-09T12:34:59.996000Z,2026-09-09 04:34 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,1288.3,1267.5,0.968,26.19
AM_romig_traffic_2026-09-09__213,AM_romig_traffic_2026-09-09,20260914_130103,213,AM,R1796,EHZ,2026-09-09T12:36:59.996000Z,2026-09-09 04:36 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,623.2,585.6,0.883,15.28
AM_romig_traffic_2026-09-09__215,AM_romig_traffic_2026-09-09,20260914_130103,215,AM,R1796,EHZ,2026-09-09T12:38:59.996000Z,2026-09-09 04:38 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,949.2,931.0,0.962,16.52
AM_romig_traffic_2026-09-09__217,AM_romig_traffic_2026-09-09,20260914_130103,217,AM,R1796,EHZ,2026-09-09T12:40:59.996000Z,2026-09-09 04:40 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,1112.4,1029.4,0.856,59.1
AM_romig_traffic_2026-09-09__225,AM_romig_traffic_2026-09-09,20260914_130103,225,AM,R1796,EHZ,2026-09-09T12:48:59.996000Z,2026-09-09 04:48 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,468.4,424.3,0.821,18.11
AM_romig_traffic_2026-09-09__226,AM_romig_traffic_2026-09-09,20260914_130103,226,AM,R1796,EHZ,2026-09-09T12:49:59.996000Z,2026-09-09 04:49 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,1085.2,1010.6,0.867,59.92
AM_romig_traffic_2026-09-09__228,AM_romig_traffic_2026-09-09,20260914_130103,228,AM,R1796,EHZ,2026-09-09T12:51:59.996000Z,2026-09-09 04:51 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,771.5,645.8,0.701,16.34
AM_romig_traffic_2026-09-09__229,AM_romig_traffic_2026-09-09,20260914_130103,229,AM,R1796,EHZ,2026-09-09T12:52:59.996000Z,2026-09-09 04:52 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,749.2,712.5,0.904,35.19
AM_romig_traffic_2026-09-09__235,AM_romig_traffic_2026-09-09,20260914_130103,235,AM,R1796,EHZ,2026-09-09T12:58:59.996000Z,2026-09-09 04:58 Wed,1,Traffic,night burst,timeofday:America/Anchorage:day7-19:night1-5+burst>=20x,,1014.7,856.1,0.712,5.28
AM_romig_traffic_2026-09-09__952,AM_romig_traffic_2026-09-09,20260914_130103,952,AM,R3130,EHZ,2026-09-09T09:10:59.995000Z,2026-09-09 01:10 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,246.8,220.7,0.799,1.02
AM_romig_traffic_2026-09-09__963,AM_romig_traffic_2026-09-09,20260914_130103,963,AM,R3130,EHZ,2026-09-09T09:21:59.995000Z,2026-09-09 01:21 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,226.0,200.3,0.786,0.65
AM_romig_traffic_2026-09-09__975,AM_romig_traffic_2026-09-09,20260914_130103,975,AM,R3130,EHZ,2026-09-09T09:33:59.995000Z,2026-09-09 01:33 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,242.6,218.8,0.813,5.15
AM_romig_traffic_2026-09-09__983,AM_romig_traffic_2026-09-09,20260914_130103,983,AM,R3130,EHZ,2026-09-09T09:41:59.995000Z,2026-09-09 01:41 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,261.9,238.3,0.828,1.61
AM_romig_traffic_2026-09-09__998,AM_romig_traffic_2026-09-09,20260914_130103,998,AM,R3130,EHZ,2026-09-09T09:56:59.995000Z,2026-09-09 01:56 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,233.3,204.0,0.764,0.16
AM_romig_traffic_2026-09-09__999,AM_romig_traffic_2026-09-09,20260914_130103,999,AM,R3130,EHZ,2026-09-09T09:57:59.995000Z,2026-09-09 01:57 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,253.0,214.5,0.719,0.21
AM_romig_traffic_2026-09-09__1051,AM_romig_traffic_2026-09-09,20260914_130103,1051,AM,R3130,EHZ,2026-09-09T10:49:59.995000Z,2026-09-09 02:49 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,240.2,212.2,0.781,0.31
AM_romig_traffic_2026-09-09__1055,AM_romig_traffic_2026-09-09,20260914_130103,1055,AM,R3130,EHZ,2026-09-09T10:56:59.995000Z,2026-09-09 02:56 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,232.3,198.2,0.728,0.33
AM_romig_traffic_2026-09-09__1058,AM_romig_traffic_2026-09-09,20260914_130103,1058,AM,R3130,EHZ,2026-09-09T10:59:59.995000Z,2026-09-09 02:59 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,232.3,201.7,0.753,0.35
AM_romig_traffic_2026-09-09__1061,AM_romig_traffic_2026-09-09,20260914_130103,1061,AM,R3130,EHZ,2026-09-09T11:02:59.995000Z,2026-09-09 03:02 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,237.7,213.3,0.805,3.42
AM_romig_traffic_2026-09-09__1067,AM_romig_traffic_2026-09-09,20260914_130103,1067,AM,R3130,EHZ,2026-09-09T11:08:59.995000Z,2026-09-09 03:08 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,204.4,176.4,0.745,0.05
AM_romig_traffic_2026-09-09__1084,AM_romig_traffic_2026-09-09,20260914_130103,1084,AM,R3130,EHZ,2026-09-09T11:25:59.995000Z,2026-09-09 03:25 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,222.7,196.4,0.778,0.13
AM_romig_traffic_2026-09-09__1086,AM_romig_traffic_2026-09-09,20260914_130103,1086,AM,R3130,EHZ,2026-09-09T11:27:59.995000Z,2026-09-09 03:27 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,211.7,183.2,0.749,0.01
AM_romig_traffic_2026-09-09__1101,AM_romig_traffic_2026-09-09,20260914_130103,1101,AM,R3130,EHZ,2026-09-09T11:42:59.995000Z,2026-09-09 03:42 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,217.9,187.5,0.741,0.2
AM_romig_traffic_2026-09-09__1111,AM_romig_traffic_2026-09-09,20260914_130103,1111,AM,R3130,EHZ,2026-09-09T11:52:59.995000Z,2026-09-09 03:52 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,304.2,279.4,0.843,10.36
AM_romig_traffic_2026-09-09__1131,AM_romig_traffic_2026-09-09,20260914_130103,1131,AM,R3130,EHZ,2026-09-09T12:12:59.995000Z,2026-09-09 04:12 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,437.9,383.6,0.767,1.49
AM_romig_traffic_2026-09-09__1135,AM_romig_traffic_2026-09-09,20260914_130103,1135,AM,R3130,EHZ,2026-09-09T12:16:59.995000Z,2026-09-09 04:16 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,360.6,313.8,0.757,2.27
AM_romig_traffic_2026-09-09__1152,AM_romig_traffic_2026-09-09,20260914_130103,1152,AM,R3130,EHZ,2026-09-09T12:33:59.995000Z,2026-09-09 04:33 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,276.3,247.6,0.803,0.94
AM_romig_traffic_2026-09-09__1155,AM_romig_traffic_2026-09-09,20260914_130103,1155,AM,R3130,EHZ,2026-09-09T12:36:59.995000Z,2026-09-09 04:36 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,343.9,314.3,0.835,4.27
AM_romig_traffic_2026-09-09__1177,AM_romig_traffic_2026-09-09,20260914_130103,1177,AM,R3130,EHZ,2026-09-09T12:58:59.995000Z,2026-09-09 04:58 Wed,0,Noise,time of day,timeofday:America/Anchorage:day7-19:night1-5,,775.9,626.6,0.652,4.31
AM_romig_traffic_2026-09-09__1215,AM_romig_traffic_2026-09-09,20260914_130103,1215,AM,R3130,EHZ,2026-09-09T15:36:59.995000Z,2026-09-09 07:36 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,1039.1,973.4,0.878,1.58
AM_romig_traffic_2026-09-09__1247,AM_romig_traffic_2026-09-09,20260914_130103,1247,AM,R3130,EHZ,2026-09-09T16:08:59.995000Z,2026-09-09 08:08 Wed,1,Traffic,time of day,timeofday:America/Anchorage:day7-19:night1-5,,2351.8,2172.6,0.853,4.19
